,Rooms,Price,Total Space,Living Space,Kitchen Space,City center distance,Metro distance,Walk,Telephone,Balcon,Floor,Floor Number,Market Type
4729,2,17000000.0,52.0,31.0,10.0,2.068036492190038,9.0,1.0,1.0,0.0,5.0,5.0,0.0
4730,3,17000000.0,65.0,44.0,10.0,2.3163901132886533,2.0,1.0,1.0,1.0,2.0,7.0,0.0
4731,1,17005561.0,52.0,19.0,12.0,3.8180550162034828,10.0,1.0,1.0,0.0,4.0,13.0,0.0
4732,3,80000000.0,132.0,99.0,10.0,1.8383905912914882,9.0,1.0,0.0,0.0,4.0,6.0,0.0
4733,4,64865000.0,154.0,86.0,18.0,3.510958734195867,7.0,1.0,0.0,0.0,3.0,12.0,0.0
4734,1,12100000.0,36.0,18.0,9.0,2.883746764475803,10.0,1.0,0.0,0.0,9.0,12.0,0.0
4735,1,17010505.0,50.0,50.0,11.0,3.7813710405322927,0.0,0.0,1.0,0.0,3.0,13.0,0.0
4736,1,17025207.0,51.0,19.0,12.0,3.8180550162034828,10.0,1.0,1.0,0.0,5.0,13.0,0.0
4737,1,17035505.0,50.0,20.0,11.0,3.7813710405322927,9.0,1.0,1.0,0.0,3.0,13.0,0.0
4738,1,17043927.0,52.0,19.0,12.0,3.8180550162034828,10.0,1.0,1.0,0.0,3.0,13.0,0.0
4739,1,17091393.0,46.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,7.0,7.0,0.0
4740,3,17139500.0,84.0,50.0,3.0,3.9585047833703344,7.0,1.0,1.0,0.0,4.0,44.0,0.0
4741,1,17174697.0,43.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,2.0,7.0,0.0
4742,3,17200000.0,80.0,52.0,8.0,4.988064142220477,5.0,1.0,1.0,0.0,1.0,8.0,0.0
4743,2,16900000.0,55.0,10.0,32.0,4.122249570940495,4.0,1.0,1.0,0.0,4.0,17.0,0.0
4744,3,17200000.0,80.0,52.0,8.0,4.988064142220477,1.0,1.0,1.0,0.0,1.0,8.0,0.0
